elkar;inkes;lurral;tfno;P0A;P0B;P01;P02;P03;P04;P05;P06;P07;P0801;P0802;P0803;P0901;P0902;P0903;p10;p11;p12;p13;p14;p15;p16;p17;p18;p19;p20;p21;p22;p2301;p2302;p2303;p2401;p2402;p2403;p2501;p2502;p2503;p2504;p2505;p2506;p26A01;p26A02;p26A03;p26A04;p26A05;p26A06;p26B01;p26B02;p26B03;p26B04;p26B05;p26B06;p27;p28;p29;p3001;p3002;p3003;p3004;p3005;p3101;p3102;p3103;p32;p33;p34;p35;p36;p37;p38;p39;p40;p41;p42;p43;p44;wt
1;813;1;1;3;59;2;79;5;3;3;3;3;26;10;1;10;99;99;5;3;2;4;4;3;1;4;1;4;14;5;15;1;6;7;3;10;10;0;0;0;0;0;0;2;1;1;1;1;1;0;12;12;12;12;12;4;4;5;0;0;0;0;0;99;99;99;11;11;5;4;5;2;3;2;5;4;2;4;1;,443896196814171
2;606;1;1;3;999;2;71;5;2;3;2;2;8;99;99;8;99;99;1;3;3;1;1;2;3;4;1;1;1;2;9;5;7;2;6;10;10;10;0;6;7;8;10;2;1;1;1;1;1;8;12;12;12;12;12;2;2;3;6;7;11;8;6;99;99;99;5;0;3;3;5;2;3;1;1;4;2;4;1;1,44819840136382
3;46;1;1;3;2;2;61;2;3;4;3;4;1;2;6;6;2;6;3;3;3;2;1;1;3;3;3;4;14;5;9;7;10;10;4;10;10;5;5;4;2;0;0;2;1;1;1;1;1;6;12;12;12;12;12;2;2;2;6;3;5;5;6;8;99;99;0;0;3;2;4;3;3;2;1;4;2;4;1;1,44819840136382
4;379;1;1;3;59;2;68;5;4;4;3;4;5;7;1;8;7;99;5;2;2;3;3;1;3;1;1;1;12;5;3;7;5;10;3;1;10;2;5;5;0;0;0;2;1;1;1;1;1;3;12;12;12;12;12;2;3;3;0;0;4;0;5;99;99;99;5;4;4;3;5;2;3;2;5;4;2;4;1;,443896196814171
5;813;1;1;3;59;2;24;1;2;3;1;3;8;16;9;9;1;99;1;2;3;3;1;2;3;3;1;1;12;5;15;7;6;10;4;3;10;5;6;6;5;0;0;1;1;1;1;1;1;12;12;12;12;12;12;2;2;2;7;5;5;6;7;99;99;99;2;5;3;2;1;5;1;7;5;4;2;4;1;,416305338826238
6;46;1;1;3;59;2;45;1;3;4;3;3;10;13;8;6;16;8;2;2;3;3;3;2;1;2;1;1;6;1;6;2;5;7;1;10;10;5;0;4;0;6;0;2;2;2;2;1;1;6;0;5;7;12;12;3;3;3;5;4;4;2;4;8;9;99;6;2;3;3;3;5;1;2;1;4;2;4;1;,662645626786283
7;606;1;1;3;59;1;66;1;2;4;2;2;1;8;2;99;99;99;2;2;3;2;1;2;3;2;1;1;12;5;4;7;6;10;5;4;3;5;6;7;8;0;0;2;2;2;2;1;2;5;6;6;0;12;11;3;4;3;6;6;7;0;4;99;99;99;2;5;3;2;4;4;2;7;3;4;1;4;1;,432400662628849
8;379;1;1;3;36;2;53;1;2;3;2;2;19;18;18;23;2;6;2;2;2;2;2;2;3;2;1;1;8;3;5;7;6;1;5;4;3;3;6;5;8;1;0;2;2;2;2;1;2;5;5;5;1;12;1;3;4;3;7;3;6;1;3;12;6;99;3;5;2;2;3;3;2;6;2;4;2;4;1;,699871971356943
9;813;1;1;3;59;1;27;1;2;3;2;3;1;2;8;1;99;99;2;2;3;1;1;2;2;2;1;1;2;2;2;7;6;1;5;4;10;5;9;5;6;1;0;2;2;2;1;2;1;5;8;6;12;5;12;3;2;2;6;5;8;4;5;99;99;99;4;5;2;2;3;4;1;6;1;4;1;4;1;,564257244681269
10;606;1;1;3;59;2;55;1;2;3;2;2;11;1;4;10;98;8;1;2;3;2;1;2;1;2;1;1;12;5;5;7;6;10;4;5;10;5;4;4;6;0;0;2;2;2;2;1;1;5;3;3;0;12;12;3;2;2;5;4;4;3;4;4;2;35;3;5;6;4;3;5;2;1;1;4;2;4;1;,699871971356943
11;46;1;1;3;59;2;27;1;4;4;3;4;20;5;8;8;7;9;1;2;3;1;2;3;1;3;1;1;1;3;1;2;5;10;6;7;10;7;0;4;2;6;6;2;2;2;1;1;2;6;0;5;12;12;6;3;3;3;5;4;2;0;0;2;99;99;7;4;4;3;1;3;2;6;1;4;2;4;1;,236685031688911
