elkar;inkes;lurral;tfno;P0A;P0B;P01;P02;P03;P0401;P0402;P0403;P0404;P0405;P0406;P05;P0601;P0602;P0603;P0701;P0702;P0703;P08;P09;P10;P11;P1201;P1202;P1203;P1204;P1301;P1302;P1401;P1402;P1403;P1501;P1502;P16;P1701;P1702;P1703;P18;P19;P20;P21;P22;P2301;P2302;P2303;P2401;P2402;P2403;P2501;P2502;P2503;P2504;P2505;P2506;P26A01;P26A02;P26A03;P26A04;P26A05;P26A06;P26B01;P26B02;P26B03;P26B04;P26B05;P26B06;P27;P28;P29;P30;P31;P32;P33;P34;P35;wt;udatam
1;911;1;2;3;2;1;46;1;7;6;5;4;5;3;2;2;8;9;8;2;9;1;2;3;1;4;5;1;7;8;8;10;8;8;2;3;2;2;2;1;1;1;4;1;4;7;6;10;3;10;10;2;7;5;5;0;0;2;1;1;2;1;1;6;12;12;5;12;12;2;4;3;2;1;5;2;2;4;,39752599469027;2
2;820;1;2;3;59;1;18;1;9;10;6;7;4;4;5;7;2;99;99;99;99;1;3;1;1;7;4;6;0;0;0;9;7;7;3;4;3;3;2;2;4;1;7;2;13;4;5;3;6;1;10;8;4;0;0;7;7;2;1;2;1;2;1;11;12;6;12;7;12;9;6;3;3;4;3;1;1;4;1,69586410136416;3
3;509;1;1;3;59;1;44;1;5;5;6;6;4;4;3;8;7;9;6;6;8;2;2;1;1;5;0;0;0;9;7;10;10;10;2;4;3;2;2;3;2;1;2;3;2;7;6;10;1;10;10;5;6;6;4;0;0;2;2;1;1;2;2;5;4;12;12;3;5;5;6;3;3;2;4;3;1;4;,393478332779262;3
4;648;1;2;3;2;1;44;1;7;5;3;2;5;2;7;2;5;23;23;99;99;2;2;2;2;7;5;2;1;9;5;7;9;6;2;2;2;2;1;1;2;1;13;5;14;7;4;2;3;6;1;4;0;7;1;6;1;2;2;2;2;1;1;5;3;5;5;12;12;5;0;3;3;2;5;3;2;4;,285430560198002;2
5;406;1;2;3;59;2;41;1;7;6;7;6;5;3;6;1;2;7;1;2;7;2;2;3;1;5;5;0;1;10;8;10;10;8;1;2;1;1;1;1;1;1;2;3;2;7;6;10;5;4;3;5;7;5;6;1;0;2;2;2;2;2;2;4;6;5;2;4;0;2;7;2;2;3;5;3;1;4;,410585830771016;3
6;379;1;2;3;59;1;63;2;5;5;5;5;4;3;5;1;2;7;8;2;1;2;2;2;1;5;4;0;0;9;9;9;10;10;2;3;2;3;2;2;2;1;12;5;3;7;4;5;10;10;10;5;5;5;0;5;0;2;2;1;2;2;1;5;5;12;5;5;12;5;5;4;3;5;2;3;1;4;,445971136076519;3
7;820;1;1;3;59;1;84;5;8;6;8;8;8;6;4;1;2;8;8;99;99;3;2;1;1;10;8;2;2;10;10;10;9;9;2;3;1;1;1;1;1;1;1;2;1;7;6;2;3;10;10;9;1;8;5;2;0;2;2;2;2;1;1;8;11;6;1;12;12;4;7;2;2;4;4;1;5;4;,394361705720365;3
8;71;1;1;3;999;2;53;5;4;4;7;6;3;2;0;99;99;99;31;99;99;1;2;3;2;0;6;0;0;7;8;10;10;7;3;3;3;1;1;2;1;1;13;5;1;7;6;10;9;9;9;7;6;5;5;0;0;1;1;1;1;1;1;12;12;12;12;12;12;4;5;6;2;4;5;3;5;4;,394361705720365;1
9;911;1;1;3;2;2;56;1;9;8;4;3;4;3;3;10;28;1;6;8;99;1;3;2;1;8;3;0;0;10;10;10;10;10;3;3;1;1;1;1;1;1;2;1;2;8;8;8;8;8;8;3;7;4;2;3;0;2;2;2;2;1;2;3;9;1;6;12;3;7;9;1;1;3;5;1;1;4;,410585830771016;2
10;406;1;1;3;59;2;64;6;1;2;7;7;6;0;1;1;28;2;2;14;1;2;2;2;1;5;2;0;0;10;10;10;10;10;1;1;2;2;2;1;1;1;12;5;1;7;6;2;3;1;5;7;0;7;7;0;0;2;2;2;2;1;1;7;3;6;5;12;12;5;0;3;3;5;2;3;5;4;,394361705720365;3
